block,line,window,lag_ns,r
B,20.8.26 B Block proceq new023_2026,mid 8-16ns,0.9669,0.2001
B,20.8.26 B Block proceq new024_2026,surface 0-3ns,0.238,0.7304
B,20.8.26 B Block proceq new024_2026,shallow 4-10ns,-2.1816,0.2998
B,20.8.26 B Block proceq new024_2026,mid 8-16ns,1.468,0.3943
B,20.8.26 B Block proceq new025_2026,surface 0-3ns,0.2333,0.7101
B,20.8.26 B Block proceq new025_2026,shallow 4-10ns,-2.0923,0.3757
B,20.8.26 B Block proceq new025_2026,mid 8-16ns,1.3615,0.3704
B,20.8.26 B Block proceq new026_2026,surface 0-3ns,0.2495,0.6792
B,20.8.26 B Block proceq new026_2026,shallow 4-10ns,4.0827,0.3912
B,20.8.26 B Block proceq new026_2026,mid 8-16ns,-0.6483,0.2778
B,20.8.26 B Block proceq new027_2026,surface 0-3ns,0.247,0.6792
B,20.8.26 B Block proceq new027_2026,shallow 4-10ns,3.2177,0.4837
B,20.8.26 B Block proceq new027_2026,mid 8-16ns,-2.8569,0.2357
B,20.8.26 B Block proceq new028_2026,surface 0-3ns,0.2637,0.6468
B,20.8.26 B Block proceq new028_2026,shallow 4-10ns,-2.3607,0.3297
B,20.8.26 B Block proceq new028_2026,mid 8-16ns,1.8828,0.5986
B,20.8.26 B Block proceq new029_2026,surface 0-3ns,0.288,0.6766
B,20.8.26 B Block proceq new029_2026,shallow 4-10ns,-2.4465,0.4401
B,20.8.26 B Block proceq new029_2026,mid 8-16ns,2.2788,0.4193
B,20.8.26 B Block proceq new030_2026,surface 0-3ns,0.2872,0.6625
B,20.8.26 B Block proceq new030_2026,shallow 4-10ns,1.998,0.5264
B,20.8.26 B Block proceq new030_2026,mid 8-16ns,2.7475,0.2805
B,20.8.26 B Block proceq new031_2026,surface 0-3ns,0.2219,0.7224
B,20.8.26 B Block proceq new031_2026,shallow 4-10ns,2.7756,0.6108
B,20.8.26 B Block proceq new031_2026,mid 8-16ns,-3.9602,0.4355
B,20.8.26 B Block proceq new032_2026,surface 0-3ns,0.2378,0.6777
B,20.8.26 B Block proceq new032_2026,shallow 4-10ns,-4.0071,0.4063
B,20.8.26 B Block proceq new032_2026,mid 8-16ns,3.2438,0.4415
B,20.8.26 B Block proceq new033_2026,surface 0-3ns,0.2671,0.6759
B,20.8.26 B Block proceq new033_2026,shallow 4-10ns,-3.8663,0.5057
B,20.8.26 B Block proceq new033_2026,mid 8-16ns,2.3523,0.4469
C,20.8.26 C Block new001_20260820_18,surface 0-3ns,0.2805,0.7156
C,20.8.26 C Block new001_20260820_18,shallow 4-10ns,-4.857,0.4824
C,20.8.26 C Block new001_20260820_18,mid 8-16ns,2.6428,0.6235
C,20.8.26 C Block new002_20260820_18,surface 0-3ns,0.2892,0.7053
C,20.8.26 C Block new002_20260820_18,shallow 4-10ns,-3.4744,0.4343
C,20.8.26 C Block new002_20260820_18,mid 8-16ns,-3.1901,0.3335
C,20.8.26 C Block new003_20260820_18,surface 0-3ns,0.2822,0.7083
C,20.8.26 C Block new003_20260820_18,shallow 4-10ns,-1.948,0.4663
C,20.8.26 C Block new003_20260820_18,mid 8-16ns,2.4069,0.6996
C,20.8.26 C Block new004_20260820_18,surface 0-3ns,0.2817,0.716
C,20.8.26 C Block new004_20260820_18,shallow 4-10ns,3.7573,0.4754
C,20.8.26 C Block new004_20260820_18,mid 8-16ns,-2.6052,0.4156
C,20.8.26 C Block new005_20260820_18,surface 0-3ns,0.2895,0.7083
C,20.8.26 C Block new005_20260820_18,shallow 4-10ns,0.7793,0.4403
C,20.8.26 C Block new005_20260820_18,mid 8-16ns,4.6404,0.4544
C,20.8.26 C Block new006_20260820_18,surface 0-3ns,0.2945,0.6915
C,20.8.26 C Block new006_20260820_18,shallow 4-10ns,-3.5476,0.4673
C,20.8.26 C Block new006_20260820_18,mid 8-16ns,-1.6293,0.3672
C,20.8.26 C Block new007_20260820_18,surface 0-3ns,0.3096,0.6994
C,20.8.26 C Block new007_20260820_18,shallow 4-10ns,2.764,0.5305
C,20.8.26 C Block new007_20260820_18,mid 8-16ns,-1.1418,0.3181
C,20.8.26 C Block new008_20260820_18,surface 0-3ns,0.2501,0.7312
C,20.8.26 C Block new008_20260820_18,shallow 4-10ns,3.0961,0.6274
C,20.8.26 C Block new008_20260820_18,mid 8-16ns,-4.9824,0.3555
C,20.8.26 C Block new009_20260820_18,surface 0-3ns,0.241,0.7328
C,20.8.26 C Block new009_20260820_18,shallow 4-10ns,3.0298,0.5491
C,20.8.26 C Block new009_20260820_18,mid 8-16ns,-3.3535,0.4013
C,20.8.26 C Block new010_20260820_18,surface 0-3ns,0.2969,0.6299
C,20.8.26 C Block new010_20260820_18,shallow 4-10ns,4.1729,0.3998
C,20.8.26 C Block new010_20260820_18,mid 8-16ns,0.9767,0.1269
C,20.8.26 C Block new011_20260820_18,surface 0-3ns,0.2618,0.7173
C,20.8.26 C Block new011_20260820_18,shallow 4-10ns,-3.0262,0.3508
C,20.8.26 C Block new011_20260820_18,mid 8-16ns,1.4599,0.4126
C,20.8.26 C Block new012_20260820_18,surface 0-3ns,0.1954,0.7398
C,20.8.26 C Block new012_20260820_18,shallow 4-10ns,-2.1382,0.6324
C,20.8.26 C Block new012_20260820_18,mid 8-16ns,1.4892,0.5932
C,20.8.26 C Block new013_20260820_18,surface 0-3ns,0.217,0.6807
C,20.8.26 C Block new013_20260820_18,shallow 4-10ns,-2.4346,0.603
C,20.8.26 C Block new013_20260820_18,mid 8-16ns,1.0894,0.5412
C,20.8.26 C Block new014_20260820_18,surface 0-3ns,0.2512,0.6836
C,20.8.26 C Block new014_20260820_18,shallow 4-10ns,2.9554,0.4272
C,20.8.26 C Block new014_20260820_18,mid 8-16ns,2.3483,0.4949
C,20.8.26 C Block new015_20260820_18,surface 0-3ns,0.2719,0.6685
C,20.8.26 C Block new015_20260820_18,shallow 4-10ns,-2.0736,0.3665
C,20.8.26 C Block new015_20260820_18,mid 8-16ns,2.4219,0.2959
C,20.8.26 C Block new016_20260820_18,surface 0-3ns,0.244,0.722
C,20.8.26 C Block new016_20260820_18,shallow 4-10ns,-2.4605,0.3047
C,20.8.26 C Block new016_20260820_18,mid 8-16ns,2.1688,0.5137
C,20.8.26 C Block new017_20260820_19,surface 0-3ns,0.2476,0.7142
C,20.8.26 C Block new017_20260820_19,shallow 4-10ns,-4.7802,0.4667
C,20.8.26 C Block new017_20260820_19,mid 8-16ns,-1.1063,0.4793
C,20.8.26 C Block new018_20260820_19,surface 0-3ns,0.2422,0.7321
C,20.8.26 C Block new018_20260820_19,shallow 4-10ns,4.6087,0.3069
C,20.8.26 C Block new018_20260820_19,mid 8-16ns,1.4716,0.4089
C,20.8.26 C Block new019_20260820_19,surface 0-3ns,0.2428,0.7335
C,20.8.26 C Block new019_20260820_19,shallow 4-10ns,-2.1,0.2716
C,20.8.26 C Block new019_20260820_19,mid 8-16ns,1.8307,0.374
C,20.8.26 C Block new020_20260820_19,surface 0-3ns,0.2337,0.7209
C,20.8.26 C Block new020_20260820_19,shallow 4-10ns,4.0588,0.3232
C,20.8.26 C Block new020_20260820_19,mid 8-16ns,1.0981,0.399
C,20.8.26 C Block new021_20260820_19,surface 0-3ns,0.254,0.7102
C,20.8.26 C Block new021_20260820_19,shallow 4-10ns,-4.5249,0.3384
C,20.8.26 C Block new021_20260820_19,mid 8-16ns,-0.0236,0.2304
C,20.8.26 C Block new022_20260820_19,surface 0-3ns,0.2362,0.7279
C,20.8.26 C Block new022_20260820_19,shallow 4-10ns,-4.8551,0.3614
C,20.8.26 C Block new022_20260820_19,mid 8-16ns,2.8775,0.2396
C,20.8.26 C Block new023_20260820_19,surface 0-3ns,0.2213,0.6889
