block,line,orientation,fixed_axis,fixed_cm,run_axis,run_from_cm,run_to_measured_cm,nominal_len_cm,len_error_cm,n_traces,trace_spacing_cm,ns_HF,ns_LF,window_HF_ns,window_LF_ns,antenna_offset_HF_cm,antenna_offset_LF_cm,sgy_HF,sgy_LF
B,19,Y-line,x,250,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new019_20260820_181922\20.8.26 B Block proceq new019_20260820_181922_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new019_20260820_181922\20.8.26 B Block proceq new019_20260820_181922_20260821_115320_LF.sgy
B,20,Y-line,x,300,y,0,605.0,600,5.0,243,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new020_20260820_181950\20.8.26 B Block proceq new020_20260820_181950_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new020_20260820_181950\20.8.26 B Block proceq new020_20260820_181950_20260821_115320_LF.sgy
B,21,Y-line,x,350,y,0,600.0,600,0.0,241,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new021_20260820_182035\20.8.26 B Block proceq new021_20260820_182035_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new021_20260820_182035\20.8.26 B Block proceq new021_20260820_182035_20260821_115320_LF.sgy
B,22,Y-line,x,400,y,0,607.5,600,7.5,244,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new022_20260820_182110\20.8.26 B Block proceq new022_20260820_182110_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new022_20260820_182110\20.8.26 B Block proceq new022_20260820_182110_20260821_115320_LF.sgy
B,23,Y-line,x,450,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new023_20260820_182141\20.8.26 B Block proceq new023_20260820_182141_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new023_20260820_182141\20.8.26 B Block proceq new023_20260820_182141_20260821_115320_LF.sgy
B,24,Y-line,x,500,y,0,630.0,600,30.0,253,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new024_20260820_182211\20.8.26 B Block proceq new024_20260820_182211_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new024_20260820_182211\20.8.26 B Block proceq new024_20260820_182211_20260821_115320_LF.sgy
B,25,Y-line,x,550,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new025_20260820_182244\20.8.26 B Block proceq new025_20260820_182244_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new025_20260820_182244\20.8.26 B Block proceq new025_20260820_182244_20260821_115320_LF.sgy
B,26,Y-line,x,600,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new026_20260820_182318\20.8.26 B Block proceq new026_20260820_182318_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new026_20260820_182318\20.8.26 B Block proceq new026_20260820_182318_20260821_115320_LF.sgy
B,27,Y-line,x,650,y,0,607.5,600,7.5,244,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new027_20260820_182402\20.8.26 B Block proceq new027_20260820_182402_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new027_20260820_182402\20.8.26 B Block proceq new027_20260820_182402_20260821_115320_LF.sgy
B,28,Y-line,x,700,y,0,607.5,600,7.5,244,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new028_20260820_182444\20.8.26 B Block proceq new028_20260820_182444_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new028_20260820_182444\20.8.26 B Block proceq new028_20260820_182444_20260821_115320_LF.sgy
B,29,Y-line,x,750,y,0,600.0,600,0.0,241,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new029_20260820_182523\20.8.26 B Block proceq new029_20260820_182523_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new029_20260820_182523\20.8.26 B Block proceq new029_20260820_182523_20260821_115320_LF.sgy
B,30,Y-line,x,800,y,0,607.5,600,7.5,244,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new030_20260820_182625\20.8.26 B Block proceq new030_20260820_182625_20260821_115004_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new030_20260820_182625\20.8.26 B Block proceq new030_20260820_182625_20260821_115004_LF.sgy
B,31,Y-line,x,850,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new031_20260820_182700\20.8.26 B Block proceq new031_20260820_182700_20260821_115004_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new031_20260820_182700\20.8.26 B Block proceq new031_20260820_182700_20260821_115004_LF.sgy
B,32,Y-line,x,900,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new032_20260820_182741\20.8.26 B Block proceq new032_20260820_182741_20260821_115004_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new032_20260820_182741\20.8.26 B Block proceq new032_20260820_182741_20260821_115004_LF.sgy
B,33,Y-line,x,950,y,0,605.0,600,5.0,243,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new033_20260820_182823\20.8.26 B Block proceq new033_20260820_182823_20260821_115004_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new033_20260820_182823\20.8.26 B Block proceq new033_20260820_182823_20260821_115004_LF.sgy
C,1,X-line,y,0,x,0,697.5,700,-2.5,280,2.5,655,664,40,81,7.0,24.4,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new001_20260820_184938\20.8.26 C Block new001_20260820_184938_20260821_114331_HF.sgy,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new001_20260820_184938\20.8.26 C Block new001_20260820_184938_20260821_114331_LF.sgy
C,2,X-line,y,50,x,0,707.5,700,7.5,284,2.5,655,664,40,81,7.0,24.4,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new002_20260820_185029\20.8.26 C Block new002_20260820_185029_20260821_114331_HF.sgy,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new002_20260820_185029\20.8.26 C Block new002_20260820_185029_20260821_114331_LF.sgy
C,3,X-line,y,100,x,0,697.5,700,-2.5,280,2.5,655,664,40,81,7.0,24.4,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new003_20260820_185105\20.8.26 C Block new003_20260820_185105_20260821_114331_HF.sgy,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new003_20260820_185105\20.8.26 C Block new003_20260820_185105_20260821_114331_LF.sgy
C,4,X-line,y,150,x,0,705.0,700,5.0,283,2.5,655,664,40,81,7.0,24.4,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new004_20260820_185141\20.8.26 C Block new004_20260820_185141_20260821_114331_HF.sgy,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new004_20260820_185141\20.8.26 C Block new004_20260820_185141_20260821_114331_LF.sgy
C,5,X-line,y,200,x,0,697.5,700,-2.5,280,2.5,655,664,40,81,7.0,24.4,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new005_20260820_185215\20.8.26 C Block new005_20260820_185215_20260821_114331_HF.sgy,C Block\SEGY_20260821_114331\SEGY_20260821_114331\20.8.26 C Block new005_20260820_185215\20.8.26 C Block new005_20260820_185215_20260821_114331_LF.sgy
