block,l1,l2,r_nominal,r_best,shift_cm
B,13,27,0.5077,0.5077,0.0
B,13,28,0.3875,0.5911,4.98
B,13,30,0.1487,0.7066,-17.43
B,13,31,0.1674,0.2332,-7.47
B,13,32,-0.1653,-0.0067,-7.47
C,1,18,0.5104,0.5969,7.47
C,1,19,0.86,0.86,0.0
C,1,20,0.8185,0.8185,0.0
C,1,21,0.571,0.571,0.0
C,1,22,0.7796,0.7824,2.49
C,1,23,0.848,0.8652,14.94
C,1,24,0.6673,0.7614,12.45
C,1,25,0.5319,0.7551,2.49
C,1,26,0.6899,0.6899,0.0
C,1,27,0.7087,0.7087,0.0
C,1,28,0.6114,0.6754,19.92
C,1,29,0.7711,0.8185,9.96
C,1,30,0.7121,0.7354,2.49
C,1,31,0.667,0.777,2.49
C,2,18,0.4409,0.7229,-2.49
C,2,19,0.6212,0.6212,0.0
C,2,20,0.6937,0.6937,0.0
C,2,21,0.5711,0.8283,-2.49
C,2,22,0.8491,0.8851,7.47
C,2,23,0.701,0.8452,-2.49
C,2,24,0.8176,0.866,-2.49
C,2,25,0.6597,0.9191,-9.96
C,2,26,0.897,0.9107,-2.49
C,2,27,0.7892,0.9255,2.49
C,2,28,0.847,0.849,2.49
C,2,29,0.7842,0.803,2.49
C,2,30,0.7137,0.8994,-7.47
C,2,31,0.3533,0.8367,-4.98
C,2,32,0.3429,0.7691,-2.49
C,3,18,0.4341,0.5931,-14.94
C,3,19,0.829,0.829,0.0
C,3,20,0.7323,0.7323,0.0
C,3,21,0.8667,0.8667,0.0
C,3,22,0.7998,0.9305,4.98
C,3,23,0.7464,0.8759,9.96
C,3,24,0.5216,0.7098,9.96
C,3,25,0.7483,0.8094,2.49
C,3,26,0.8515,0.9133,-2.49
C,3,27,0.6307,0.6933,-4.98
C,3,28,0.6816,0.7992,9.96
C,3,29,0.6402,0.7255,-2.49
C,3,30,0.4649,0.6578,-12.45
C,3,31,-0.0769,0.745,12.45
C,4,18,0.3012,0.7606,12.45
C,4,19,0.5408,0.5764,19.92
C,4,20,0.3614,0.4651,17.43
C,4,21,0.6465,0.8652,4.98
C,4,22,0.7049,0.9541,12.45
C,4,23,0.751,0.859,7.47
C,4,24,0.83,0.9114,4.98
C,4,25,0.9397,0.9397,0.0
C,4,26,0.9371,0.9632,2.49
C,4,27,0.914,0.925,9.96
C,4,28,0.788,0.8955,7.47
C,4,29,0.6255,0.8644,4.98
C,4,30,0.6063,0.6733,-9.96
C,4,31,0.5915,0.8486,9.96
C,4,32,0.7717,0.9359,7.47
C,5,18,0.2548,0.7035,-19.92
C,5,19,0.4939,0.7226,-9.96
C,5,20,0.1212,0.633,-14.94
C,5,21,0.317,0.7428,-9.96
C,5,22,0.8365,0.859,2.49
C,5,23,0.8719,0.8719,0.0
